Column,IC_Mean,IC_Std,ICIR,TO,T-stat,P-value,NW_T-stat,NW_P-value,FactorGroup
corr_price_turn_1M,-0.0146,0.0835,-0.175,0.021,-5.0699,0.0,-4.8492,0.0,alphafactor
vol_std_1M,-0.0173,0.1463,-0.1181,0.0095,-3.4247,0.0006,-3.0421,0.0023,alphafactor
vol_std_3M,-0.0116,0.1599,-0.0728,0.0017,-2.112,0.035,-1.8646,0.0622,alphafactor
vol_std_6M,-0.0099,0.1608,-0.0614,0.0006,-1.7798,0.0755,-1.5648,0.1176,alphafactor
vol_down_std_1M,-0.0084,0.1348,-0.0622,0.0208,-1.805,0.0714,-1.5566,0.1196,alphafactor
vol_down_std_3M,-0.0066,0.1489,-0.044,0.0043,-1.2772,0.2019,-1.1176,0.2637,alphafactor
vol_down_std_6M,-0.0059,0.1504,-0.0392,0.0016,-1.1381,0.2554,-1.0049,0.315,alphafactor
vol_up_std_1M,-0.0132,0.0727,-0.1823,0.0206,-5.2859,0.0,-5.0188,0.0,alphafactor
vol_up_std_3M,-0.009,0.0624,-0.1445,0.0046,-4.1916,0.0,-4.0254,0.0001,alphafactor
vol_up_std_6M,-0.0077,0.0569,-0.135,0.0017,-3.9155,0.0001,-3.7367,0.0002,alphafactor
vol_highlow_avg_1M,-0.0221,0.1555,-0.1421,0.0028,-4.1199,0.0,-3.6874,0.0002,alphafactor
vol_highlow_avg_3M,-0.0184,0.1562,-0.1175,0.0005,-3.4079,0.0007,-3.0758,0.0021,alphafactor
vol_highlow_avg_6M,-0.0174,0.1501,-0.1162,0.0002,-3.369,0.0008,-3.0492,0.0023,alphafactor
vol_highlow_std_1M,-0.0196,0.126,-0.1559,0.0133,-4.5213,0.0,-3.8513,0.0001,alphafactor
vol_highlow_std_3M,-0.0137,0.1306,-0.1046,0.0026,-3.0328,0.0025,-2.6392,0.0083,alphafactor
vol_highlow_std_6M,-0.01,0.1229,-0.0815,0.0009,-2.3639,0.0183,-2.0954,0.0361,alphafactor
vol_upshadow_avg_1M,-0.0191,0.1298,-0.1471,0.0072,-4.2659,0.0,-4.026,0.0001,alphafactor
vol_upshadow_avg_3M,-0.0187,0.1342,-0.1397,0.0013,-4.0526,0.0001,-3.7167,0.0002,alphafactor
vol_upshadow_avg_6M,-0.019,0.1305,-0.1459,0.0005,-4.2311,0.0,-3.8247,0.0001,alphafactor
vol_upshadow_std_1M,-0.0179,0.1232,-0.1456,0.0126,-4.2225,0.0,-3.8607,0.0001,alphafactor
vol_upshadow_std_3M,-0.0146,0.1308,-0.112,0.0028,-3.2474,0.0012,-2.9531,0.0031,alphafactor
